date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jun%202016%2012:06:18%20GMT	http://www.samomatky.cz/robots.txt		(from )
14:06:21	23950/23950	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jun%202016%2012:06:21%20GMT	http://www.samomatky.cz/	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/index.html	(from )
14:06:22	5332/5332	---M--	200	added ('OK')	image/png	etag:%22b2135d1ff6fd01:0%22	http://www.samomatky.cz/wp-content/themes/dualshock/apple-touch-icon.png	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/themes/dualshock/apple-touch-icon.png	(from http://www.samomatky.cz/)
14:06:24	42/42	---M--	200	added ('OK')	text/plain	date:Thu,%2009%20Jun%202016%2012:06:24%20GMT	http://www.samomatky.cz/xmlrpc.php	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/xmlrpc.php	(from http://www.samomatky.cz/)
14:06:26	81983/81983	---M--	200	added ('OK')	text/css	etag:%224735c11ff6fd01:0%22	http://www.samomatky.cz/wp-content/themes/dualshock/style.css?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/themes/dualshock/stylef9b8.css	(from http://www.samomatky.cz/)
14:06:27	19367/19367	---M--	200	added ('OK')	text/css	etag:%2210b273df10d01:0%22	http://www.samomatky.cz/wp-content/plugins/wp-shortcode/css/wp-shortcode.css?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/plugins/wp-shortcode/css/wp-shortcodef9b8.css	(from http://www.samomatky.cz/)
14:06:28	1432/1432	---M--	200	added ('OK')	text/xml	etag:%22c6f979f2a7453d431f6ffc10aed4d388%22	http://www.samomatky.cz/?feed=comments-rss2	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/indexa6da.html	(from http://www.samomatky.cz/)
14:06:29	7200/7200	---M--	200	added ('OK')	application/javascript	etag:%220e19fe4b087ce1:0%22	http://www.samomatky.cz/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://www.samomatky.cz/)
14:06:30	5628/5628	---M--	200	added ('OK')	application/javascript	etag:%22c23a641ff6fd01:0%22	http://www.samomatky.cz/wp-content/themes/dualshock/js/customscript.js?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/themes/dualshock/js/customscriptf9b8.js	(from http://www.samomatky.cz/)
14:06:31	13954/13954	---M--	200	added ('OK')	application/javascript	etag:%22c23a641ff6fd01:0%22	http://www.samomatky.cz/wp-content/themes/dualshock/js/modernizr.min.js?ver=4.0	D:/My%20Web%20Sites/samomatky/www.samomatky.cz/wp-content/themes/dualshock/js/modernizr.minf9b8.js	(from http://www.samomatky.cz/)
